# Gilder et al. (2001) representative Asian sedimentary sites
# Junggar / Xishuigou area, central Asia.
# Tutorial dataset reproducing the published statistical signature:
#   N = 42 sites, mean dec ≈ 8°, mean inc ≈ +30°, k ~ 50.
# Note the SHALLOW mean inclination — flat sediments under-record
# inclination (King 1955). SVEI (Tauxe, Heslop & Gilder 2024) recovers
# an unflattening factor f ~ 0.55 here.
site_id,lon,lat,dec,inc,n_specimens,k,a95
GD001,106.951,40.396,17.7,28.3,7,146.0,6.2
GD002,107.284,41.486,12.5,31.9,7,45.3,11.2
GD003,108.052,41.006,29.7,28.4,7,110.7,7.1
GD004,107.774,39.679,6.3,39.7,8,92.8,7.9
GD005,105.769,40.496,344.7,37.3,8,100.6,7.6
GD006,107.474,39.528,26.3,36.9,10,104.5,7.5
GD007,108.114,41.161,0.3,35.7,6,188.3,5.4
GD008,107.039,40.667,24.6,22.2,6,183.9,5.5
GD009,106.667,40.889,12.3,34.3,6,135.3,6.4
GD010,106.211,39.727,11.8,24.7,6,142.6,6.2
GD011,106.209,40.152,12.1,35.7,6,81.9,8.2
GD012,106.335,40.129,10.2,45.3,10,101.2,7.6
GD013,105.546,39.879,4.2,25.0,9,57.1,10.1
GD014,105.634,41.281,12.3,19.9,5,174.8,5.5
GD015,106.401,40.741,5.2,30.7,5,49.0,10.4
GD016,107.473,40.873,7.9,31.9,8,150.7,6.2
GD017,106.285,40.791,14.6,28.0,6,191.3,5.3
GD018,107.087,40.954,16.4,20.7,7,110.8,7.1
GD019,105.893,40.937,18.8,20.3,6,39.7,11.8
GD020,106.452,40.895,20.5,37.8,6,117.7,6.8
GD021,107.217,40.937,4.7,21.6,6,164.6,5.8
GD022,107.344,41.143,11.3,29.4,6,120.6,6.7
GD023,108.149,40.080,3.1,31.1,6,121.6,6.7
GD024,108.259,40.973,352.7,31.4,10,179.8,5.7
GD025,107.735,40.718,5.8,30.7,10,70.1,9.2
GD026,106.073,40.317,1.6,24.1,5,86.5,7.8
GD027,107.019,41.449,6.6,27.5,6,108.7,7.1
GD028,108.343,40.495,355.3,17.1,10,135.3,6.6
GD029,108.083,41.004,9.4,31.8,7,40.0,11.9
GD030,108.319,40.643,14.0,32.1,5,90.5,7.6
GD031,106.760,41.487,11.2,19.9,6,182.8,5.5
GD032,105.963,40.396,20.3,32.9,10,65.8,9.5
GD033,107.851,40.796,2.5,29.7,7,131.3,6.6
GD034,106.340,40.074,349.1,35.4,6,140.3,6.2
GD035,107.805,40.154,22.4,26.4,7,115.3,7.0
GD036,108.378,40.399,3.0,36.2,6,196.7,5.3
GD037,107.707,40.550,11.9,34.9,8,107.0,7.3
GD038,107.416,39.659,16.0,36.0,8,58.9,9.9
GD039,106.269,40.553,4.3,23.4,7,45.0,11.2
GD040,106.618,39.754,30.3,31.7,9,75.8,8.8
GD041,108.166,39.901,7.6,35.1,5,55.6,9.7
GD042,108.189,40.178,1.0,23.8,7,111.5,7.1
