# Tutorial-scale subset of Cenozoic planktonic foraminifera occurrences.
# Shape mirrors PBDB / Neptune Sandbox exports: occurrence_no, site, lon, lat, age_ma, genus, species, biome.
# For full PBDB pull see: https://paleobiodb.org/data1.2/occs/list.csv?base_name=Globigerinoidea,Globorotaliidae&interval=Cenozoic&show=coords,age
occurrence_no,site,lon,lat,age_ma,genus,species,biome
1,DSDP-289,158.5,-1.0,1.77,Globigerinoides,ruber,tropical
2,IODP-U1338,-117.9,2.5,10.57,Globigerinoides,ruber,tropical
3,DSDP-167,-161.0,7.0,10.24,Globigerinoides,ruber,tropical
4,DSDP-167,-161.0,7.0,21.01,Globigerinoides,ruber,tropical
5,DSDP-289,158.5,-1.0,1.59,Globigerinoides,ruber,tropical
6,ODP-1218,-135.4,8.9,6.66,Globigerinoides,ruber,tropical
7,ODP-806,159.4,0.3,21.38,Globigerinoides,ruber,tropical
8,DSDP-167,-161.0,7.0,8.55,Globigerinoides,ruber,tropical
9,IODP-U1448,90.4,10.8,17.64,Globigerinoides,ruber,tropical
10,ODP-758,90.4,5.4,10.81,Globigerinoides,ruber,tropical
11,IODP-U1338,-117.9,2.5,7.99,Globigerinoides,ruber,tropical
12,IODP-U1338,-117.9,2.5,11.98,Globigerinoides,ruber,tropical
13,ODP-806,159.4,0.3,18.77,Globigerinoides,ruber,tropical
14,DSDP-289,158.5,-1.0,9.97,Globigerinoides,ruber,tropical
15,ODP-758,90.4,5.4,8.42,Globigerinoides,ruber,tropical
16,IODP-U1448,90.4,10.8,10.43,Globigerinoides,ruber,tropical
17,DSDP-167,-161.0,7.0,2.15,Globigerinoides,ruber,tropical
18,ODP-925,-43.5,4.2,15.36,Globigerinoides,ruber,tropical
19,DSDP-167,-161.0,7.0,22.79,Globigerinoides,ruber,tropical
20,ODP-758,90.4,5.4,10.22,Globigerinoides,ruber,tropical
21,DSDP-167,-161.0,7.0,14.56,Globigerinoides,ruber,tropical
22,DSDP-289,158.5,-1.0,6.58,Globigerinoides,ruber,tropical
23,ODP-758,90.4,5.4,14.44,Globigerinoides,ruber,tropical
24,ODP-806,159.4,0.3,16.43,Globigerinoides,sacculifer,tropical
25,ODP-758,90.4,5.4,14.0,Globigerinoides,sacculifer,tropical
26,ODP-1218,-135.4,8.9,26.91,Globigerinoides,sacculifer,tropical
27,DSDP-167,-161.0,7.0,0.45,Globigerinoides,sacculifer,tropical
28,IODP-U1338,-117.9,2.5,26.64,Globigerinoides,sacculifer,tropical
29,DSDP-289,158.5,-1.0,7.84,Globigerinoides,sacculifer,tropical
30,DSDP-167,-161.0,7.0,8.55,Globigerinoides,sacculifer,tropical
31,ODP-1218,-135.4,8.9,1.79,Globigerinoides,sacculifer,tropical
32,DSDP-289,158.5,-1.0,1.94,Globigerinoides,sacculifer,tropical
33,DSDP-167,-161.0,7.0,8.8,Globigerinoides,sacculifer,tropical
34,IODP-U1448,90.4,10.8,20.22,Globigerinoides,sacculifer,tropical
35,DSDP-167,-161.0,7.0,12.24,Globigerinoides,sacculifer,tropical
36,ODP-758,90.4,5.4,5.23,Globigerinoides,sacculifer,tropical
37,IODP-U1338,-117.9,2.5,25.83,Globigerinoides,sacculifer,tropical
38,ODP-806,159.4,0.3,18.15,Globigerinoides,sacculifer,tropical
39,ODP-925,-43.5,4.2,28.48,Globigerinoides,sacculifer,tropical
40,ODP-806,159.4,0.3,4.68,Globigerinoides,sacculifer,tropical
41,ODP-925,-43.5,4.2,22.55,Globigerinoides,sacculifer,tropical
42,DSDP-289,158.5,-1.0,20.26,Globigerinoides,sacculifer,tropical
43,ODP-806,159.4,0.3,0.03,Globigerinoides,sacculifer,tropical
44,IODP-U1338,-117.9,2.5,6.32,Globigerinoides,sacculifer,tropical
45,ODP-1218,-135.4,8.9,11.34,Globigerinoides,sacculifer,tropical
46,ODP-925,-43.5,4.2,22.74,Globigerinoides,sacculifer,tropical
47,DSDP-289,158.5,-1.0,8.0,Trilobatus,trilobus,tropical
48,ODP-806,159.4,0.3,10.88,Trilobatus,trilobus,tropical
49,ODP-925,-43.5,4.2,6.0,Trilobatus,trilobus,tropical
50,ODP-758,90.4,5.4,22.75,Trilobatus,trilobus,tropical
51,IODP-U1448,90.4,10.8,19.45,Trilobatus,trilobus,tropical
52,IODP-U1448,90.4,10.8,9.38,Trilobatus,trilobus,tropical
53,DSDP-167,-161.0,7.0,11.92,Trilobatus,trilobus,tropical
54,ODP-806,159.4,0.3,0.11,Trilobatus,trilobus,tropical
55,IODP-U1338,-117.9,2.5,24.69,Trilobatus,trilobus,tropical
56,DSDP-167,-161.0,7.0,12.49,Trilobatus,trilobus,tropical
57,IODP-U1448,90.4,10.8,16.39,Trilobatus,trilobus,tropical
58,DSDP-167,-161.0,7.0,2.74,Trilobatus,trilobus,tropical
59,ODP-758,90.4,5.4,3.01,Trilobatus,trilobus,tropical
60,IODP-U1338,-117.9,2.5,13.69,Trilobatus,trilobus,tropical
61,ODP-1218,-135.4,8.9,7.77,Trilobatus,trilobus,tropical
62,IODP-U1338,-117.9,2.5,22.56,Trilobatus,trilobus,tropical
63,ODP-925,-43.5,4.2,2.87,Trilobatus,trilobus,tropical
64,ODP-1218,-135.4,8.9,24.21,Trilobatus,trilobus,tropical
65,ODP-806,159.4,0.3,4.31,Trilobatus,trilobus,tropical
66,ODP-806,159.4,0.3,2.58,Orbulina,universa,tropical-subtropical
67,IODP-U1338,-117.9,2.5,9.55,Orbulina,universa,tropical-subtropical
68,DSDP-167,-161.0,7.0,10.71,Orbulina,universa,tropical-subtropical
69,DSDP-289,158.5,-1.0,11.39,Orbulina,universa,tropical-subtropical
70,DSDP-289,158.5,-1.0,4.58,Orbulina,universa,tropical-subtropical
71,ODP-925,-43.5,4.2,11.27,Orbulina,universa,tropical-subtropical
72,IODP-U1448,90.4,10.8,1.86,Orbulina,universa,tropical-subtropical
73,IODP-U1448,90.4,10.8,4.9,Orbulina,universa,tropical-subtropical
74,ODP-1218,-135.4,8.9,7.94,Orbulina,universa,tropical-subtropical
75,DSDP-167,-161.0,7.0,8.06,Orbulina,universa,tropical-subtropical
76,DSDP-167,-161.0,7.0,8.34,Orbulina,universa,tropical-subtropical
77,DSDP-167,-161.0,7.0,5.21,Orbulina,universa,tropical-subtropical
78,ODP-758,90.4,5.4,8.66,Orbulina,universa,tropical-subtropical
79,DSDP-525,2.9,-29.1,3.66,Orbulina,universa,tropical-subtropical
80,IODP-U1448,90.4,10.8,13.81,Orbulina,universa,tropical-subtropical
81,ODP-1218,-135.4,8.9,1.75,Orbulina,universa,tropical-subtropical
82,ODP-758,90.4,5.4,14.34,Orbulina,universa,tropical-subtropical
83,ODP-806,159.4,0.3,14.45,Orbulina,universa,tropical-subtropical
84,DSDP-289,158.5,-1.0,13.2,Orbulina,universa,tropical-subtropical
85,ODP-758,90.4,5.4,7.69,Orbulina,universa,tropical-subtropical
86,ODP-1218,-135.4,8.9,4.27,Globorotalia,menardii,subtropical
87,IODP-U1338,-117.9,2.5,2.1,Globorotalia,menardii,subtropical
88,IODP-U1448,90.4,10.8,5.58,Globorotalia,menardii,subtropical
89,IODP-U1448,90.4,10.8,11.36,Globorotalia,menardii,subtropical
90,IODP-U1448,90.4,10.8,10.79,Globorotalia,menardii,subtropical
91,IODP-U1338,-117.9,2.5,11.43,Globorotalia,menardii,subtropical
92,IODP-U1338,-117.9,2.5,2.17,Globorotalia,menardii,subtropical
93,DSDP-525,2.9,-29.1,11.69,Globorotalia,menardii,subtropical
94,DSDP-577,157.7,32.4,2.65,Globorotalia,menardii,subtropical
95,DSDP-289,158.5,-1.0,0.21,Globorotalia,menardii,subtropical
96,ODP-806,159.4,0.3,7.97,Globorotalia,menardii,subtropical
97,IODP-U1448,90.4,10.8,9.02,Globorotalia,menardii,subtropical
98,DSDP-577,157.7,32.4,8.74,Globorotalia,menardii,subtropical
99,ODP-758,90.4,5.4,11.77,Globorotalia,menardii,subtropical
100,ODP-806,159.4,0.3,10.22,Globorotalia,menardii,subtropical
101,IODP-U1448,90.4,10.8,8.4,Globorotalia,menardii,subtropical
102,DSDP-525,2.9,-29.1,9.18,Globorotalia,menardii,subtropical
103,ODP-1218,-135.4,8.9,2.5,Globorotalia,menardii,subtropical
104,DSDP-289,158.5,-1.0,6.61,Globorotalia,menardii,subtropical
105,DSDP-289,158.5,-1.0,6.79,Globorotalia,menardii,subtropical
106,ODP-925,-43.5,4.2,7.65,Globorotalia,menardii,subtropical
107,ODP-925,-43.5,4.2,2.89,Globorotalia,tumida,subtropical
108,ODP-806,159.4,0.3,1.39,Globorotalia,tumida,subtropical
109,IODP-U1448,90.4,10.8,5.88,Globorotalia,tumida,subtropical
110,ODP-1218,-135.4,8.9,6.14,Globorotalia,tumida,subtropical
111,ODP-806,159.4,0.3,0.77,Globorotalia,tumida,subtropical
112,ODP-758,90.4,5.4,6.4,Globorotalia,tumida,subtropical
113,ODP-925,-43.5,4.2,2.11,Globorotalia,tumida,subtropical
114,ODP-758,90.4,5.4,5.8,Globorotalia,tumida,subtropical
115,ODP-806,159.4,0.3,0.87,Globorotalia,tumida,subtropical
116,ODP-1218,-135.4,8.9,2.66,Globorotalia,tumida,subtropical
117,DSDP-525,2.9,-29.1,7.44,Globorotalia,tumida,subtropical
118,ODP-758,90.4,5.4,5.6,Globorotalia,tumida,subtropical
119,ODP-1218,-135.4,8.9,6.26,Globorotalia,tumida,subtropical
120,DSDP-167,-161.0,7.0,3.44,Globorotalia,tumida,subtropical
121,IODP-U1448,90.4,10.8,7.71,Globorotalia,tumida,subtropical
122,ODP-925,-43.5,4.2,5.6,Globorotalia,tumida,subtropical
123,ODP-925,-43.5,4.2,1.07,Globorotalia,tumida,subtropical
