,Run,Age,pCO2,pCO2_pathway,S0,LandFrac,Tann,PRCann,Tann_trend,Radiation_imbalance
0,060Ma_400ppm__,60,400,proxy,1354.7,31.7,16.7,1022,0.015,0.042
1,060Ma_500ppm__,60,500,COPSE,1354.7,31.7,17.7,1059,-0.044,0.065
2,060Ma_1000ppm__,60,1000,,1354.7,31.7,20.6,1178,0.002,0.022
3,065Ma_250ppm__,65,250,,1354.1,31.3,14.7,954,0.003,0.033
4,065Ma_300ppm__,65,300,proxy,1354.1,31.3,15.5,984,-0.003,0.028
5,065Ma_500ppm__,65,500,,1354.1,31.3,17.7,1070,0,0.035
6,065Ma_600ppm__,65,600,COPSE,1354.1,31.3,18.5,1101,0.003,0.022
7,065Ma_1000ppm__,65,1000,,1354.1,31.3,20.7,1188,-0.004,0.04
8,065Ma_1000ppm_S0ini_,65,1000,,1332.7,31.3,18.8,1101,-0.057,0.027
9,065Ma_1000ppm_S0ini_VegFix,65,1000,,1332.7,31.3,18.8,1092,0.006,0.013
10,065Ma_1000ppm_VegHom_,65,1000,,1354.1,31.3,20.9,1195,0.004,0.048
11,065Ma_1000ppm_orb_22p0-0p00-000,65,1000,,1354.1,31.3,20.5,1191,0.007,0.039
12,065Ma_1000ppm_orb_24p5-0p06-090,65,1000,,1354.1,31.3,20.9,1195,0.015,0.094
13,065Ma_1000ppm_orb_24p5-0p06-180,65,1000,,1354.1,31.3,21,1198,0.006,0.025
14,065Ma_1000ppm_orb_24p5-0p06-270,65,1000,,1354.1,31.3,20.9,1197,0.012,0.029
15,065Ma_1500ppm__,65,1500,,1354.1,31.3,22.2,1256,0.009,0.039
16,065Ma_2000ppm__,65,2000,,1354.1,31.3,23.3,1302,0.012,0.023
17,065Ma_4000ppm__,65,4000,,1354.1,31.3,25.6,1405,0.016,0.133
18,070Ma_300ppm__,70,300,proxy,1353.5,32.2,15.5,983,0.004,-0.001
19,070Ma_800ppm__,70,800,COPSE,1353.5,32.2,19.7,1142,0.004,0.036
20,070Ma_1000ppm__,70,1000,,1353.5,32.2,20.6,1180,0.006,0.037
21,075Ma_250ppm__,75,250,,1352.9,26.9,15.4,985,0.027,0.003
22,075Ma_500ppm__,75,500,proxy,1352.9,26.9,18.4,1096,0.001,0.032
23,075Ma_900ppm__,75,900,COPSE,1352.9,26.9,20.8,1193,0.006,0.04
24,075Ma_1000ppm__,75,1000,,1352.9,26.9,21.2,1211,-0.015,0.054
25,075Ma_1000ppm_S0ini_,75,1000,,1332.7,26.9,19.5,1130,0,0.025
